# Catalogo delle compagnie: da designatore ICAO a nome dell'operatore.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# compagnie.csv, che vince sempre su questo.
#
# Fonte: vradarserver/standing-data (CC0, pubblico dominio).
# 5904 voci.
AHT,HTA Helicopteros,HTA Helicopteros
AHU,ABC Air Hungary,ABC Air Hungary
AHX,Amakusa Airlines,Amakusa Airlines
AHY,Azerbaijan Airlines,Azerbaijan Airlines
AIA,Amelia,Amelia
AIB,Airbus Industrie,Airbus Industrie
AIC,Air India,Air India
AIE,Air Inuit,Air Inuit
AIF,Compañía Aérea de,Compañía Aérea de Valencia
AIG,Air Inter Gabon,Air Inter Gabon
AIH,AirZeta,AirZeta
AII,Air Integra,Air Integra
AIJ,ABC Aerolíneas,ABC Aerolíneas
AIK,African Airlines,African Airlines International Limited
AIL,Air Illinois,Air Illinois
AIM,Trabajos Aéreos,Trabajos Aéreos Murcianos
AIN,African Internation,African International Airways
AIO,United States Air,United States Air Force
AIP,Alpine Air Express,Alpine Air Express
AIQ,Thai AirAsia,Thai AirAsia
AIR,Airlift Internation,Airlift International
AIS,Air Sureste,Air Sureste
AIT,Airest,Airest
AIU,Alicante Internacio,Alicante Internacional Airlines
AIV,Airvias S/A Linhas,Airvias S/A Linhas Aéreas
AIW,Atlantic Island,Atlantic Island Airways
AIX,Aircruising Austral,Aircruising Australia
AIY,Aircrew Check and,Aircrew Check and Training Australia
AIZ,Arkia Israel,Arkia Israel Airlines
AJB,American Jet,American Jet
AJC,Bar Harbor Airlines,Bar Harbor Airlines
AJD,Vista Georgia,Vista Georgia
AJE,Aero Jet Express,Aero Jet Express
AJF,Avia Consult,Avia Consult Flugbetriebs
AJH,Aeroaljarafe,Aeroaljarafe
AJI,Ameristar Jet,Ameristar Jet Charter
AJJ,A2 Jet Leasing,A2 Jet Leasing
AJK,Allied Air,Allied Air
AJM,Air Jamaica,Air Jamaica
AJP,Aero Jets Corporati,Aero Jets Corporativos
AJR,A-Jet Aviation,A-Jet Aviation Company
AJS,Aeroejecutivos,Aeroejecutivos Colombia
AJT,Amerijet Internatio,Amerijet International
AJU,Air Jetsul,Air Jetsul
AJV,ANA &amp; JP,ANA &amp; JP Express
AJW,Alpha Jet Internati,Alpha Jet International
AJX,Air Japan,Air Japan
AJY,Ajet,Ajet
AKA,Air Korea,Air Korea
AKB,Aktjubavia,Aktjubavia
AKC,Asialink Cargo,Asialink Cargo Express
AKF,Anikay Air Company,Anikay Air Company
AKG,No. 84 Squadron RAF,No. 84 Squadron RAF
AKH,Akhal,Akhal
AKI,Ibk-Petra,Ibk-Petra
AKJ,Akasa Air,Akasa Air
AKK,Aklak Air,Aklak Air
AKL,Air Kiribati,Air Kiribati
AKM,Mak Air,Mak Air
AKN,Alkan Air,Alkan Air
AKR,Aero Clinker,Aero Clinker
AKT,Canadian North,Canadian North
AKW,Angkor Airways,Angkor Airways
AKX,ANA Wings,ANA Wings
AKY,Yak-Service,Yak-Service
AKZ,AK Navigator,AK Navigator LLC
ALB,Aero Albatros,Aero Albatros
ALC,Southern Jersey,"Southern Jersey Airways, Inc."
ALD,Air Leisure,Air Leisure
ALE,Alliance Executive,Alliance Executive Jets
ALF,Allied Command,Allied Command Europe (Mobile Force)
ALG,Air Logistics,Air Logistics
ALJ,Heli Ambulance Team,Heli Ambulance Team
ALK,SriLankan Airlines,SriLankan Airlines
ALL,Aerovallarta,Aerovallarta
ALM,Air ALM,Air ALM
ALN,Air Lincoln,Air Lincoln
ALO,Allegheny Commuter,Allegheny Commuter Airlines
ALP,Allpoints Jet,Allpoints Jet
ALQ,Altair Aviation,Altair Aviation (1986)
ALR,Líneas Aéreas,Líneas Aéreas Alaire S.L.
ALS,Aeralp,Aeralp
ALT,Aerolíneas Centrale,Aerolíneas Centrales
ALU,Air Luxor STP,Air Luxor STP
ALV,Aeropostal Alas de,Aeropostal Alas de Venezuela
ALW,Alas Nacionales,"Alas Nacionales, S.A."
ALX,Alpi Jets,Alpi Jets
ALY,Alas Uruguay,Alas Uruguay
ALZ,Alta Flights,Alta Flights (Charters) Ltd.
AMA,Moalem Aviation,Moalem Aviation
AMB,Deutsche Rettungsfl,Deutsche Rettungsflugwacht
AMD,SA Red Cross Air,SA Red Cross Air Mercy Service
AME,Spanish Air Force,Spanish Air Force
AMF,Ameriflight,Ameriflight
AMG,Air Minas Linhas,Air Minas Linhas Aéreas
AMH,Alan Mann Helicopte,Alan Mann Helicopters Ltd.
AMI,Air Maldives,Air Maldives
AMJ,Amjet Executive,Amjet Executive
AMK,AMAC Aerospace,AMAC Aerospace
AML,Air Malawi,Air Malawi
AMM,Aeroputul Internati,Aeroputul International Marculesti
AMN,Air Montenegro,Air Montenegro
AMO,Air Montreal (Air,Air Montreal (Air Holdings Inc.)
AMP,Aero Transporte,Aero Transporte S.A. (ATSA)
AMQ,AMC Aviation,AMC Aviation
AMR,Air Specialties,Air Specialties Corporation
AMS,Air Muskoka,Air Muskoka
AMU,Air Macau,Air Macau
AMV,AMC Airlines,AMC Airlines
AMW,Armenia Airways,Armenia Airways
AMX,Aeroméxico,Aeroméxico
AMY,Air Ambar,Air Ambar
AMZ,Amiya Airline,Amiya Airline
ANA,All Nippon Airways,All Nippon Airways
ANB,Air Navigation And,Air Navigation And Trading Co. Ltd.
ANC,Anglo Cargo,Anglo Cargo
AND,National Jet,National Jet Service
ANE,Air Nostrum,Air Nostrum
ANG,Air Niugini,Air Niugini
ANH,Alajnihah for Air,Alajnihah for Air Transport
ANI,Air Atlantic (Nig),Air Atlantic (Nig) Limited
ANK,Aero Nomad,Aero Nomad
ANL,Nacoia Lda,Nacoia Lda
ANM,Aerotransportacion,Aerotransportacion de Norteamerica
ANO,Airnorth,Airnorth
ANQ,Aerolínea de,Aerolínea de Antioquia
ANR,Yanair,Yanair
ANS,Andes Líneas Aéreas,Andes Líneas Aéreas
ANT,Air North Charter,Air North Charter - Canada
ANV,Air Nevada,Air Nevada
ANW,Aviación Del,"Aviación Del Noroeste, S.A. de C.V."
ANX,Secretaria de,Secretaria de Marina
ANZ,Air New Zealand,Air New Zealand
AOA,Air Ocean Airlines,Air Ocean Airlines
AOB,Aerocaribe Coro,Aerocaribe Coro
AOC,AVCOM,AVCOM
AOD,Aero Vodochody,Aero Vodochody
AOE,Air One Executive,Air One Executive
AOF,Atair,Atair Pty Ltd.
AOJ,Avcon Jet,Avcon Jet
AOL,Angkor Airlines,Angkor Airlines
AOM,Air Ocean Maroc,Air Ocean Maroc
AON,Aero Entreprise,Aero Entreprise
AOO,"As, Opened Joint","As, Opened Joint Stock Company"
AOP,Aeropiloto,Aeropiloto
AOR,Afro International,Afro International Ent. Limited
AOS,Servicios Aéreos,"Servicios Aéreos Del Sol, S.A. de C.V."
AOT,Asia Overnight,Asia Overnight Express
AOU,Air Tractor,Air Tractor
AOV,Aero Vision,Aero Vision
AOX,Aerotaxi Del Valle,Aerotaxi Del Valle
APA,Air Park Aviation,Air Park Aviation Ltd.
APC,Airpac Airlines,"Airpac Airlines, Inc."
APD,Sabre Pacific,Sabre Pacific
APE,Parcel Express,Parcel Express
APF,populAir,populAir
APG,Philippines AirAsia,Philippines AirAsia
APH,Alpha Aviation,"Alpha Aviation, Inc."
API,"ASA Pesada, Lda.","ASA Pesada, Lda."
APJ,Peach,Peach
APL,Appalachian Flying,"Appalachian Flying Service, Inc."
APM,Airpac,"Airpac, Inc."
APO,Air Peace,Air Peace
APP,AlpAvia,AlpAvia
APQ,Aspen Aviation,Aspen Aviation
APR,Aerolíneas Primordi,Aerolíneas Primordiales
APT,LAP Colombia,"LAP Colombia - Líneas Aéreas Petroleras, S.A."
APU,Aeropuma,"Aeropuma, S.A."
APV,Air Plan Internatio,Air Plan International
APW,Arrow Air,Arrow Air
APX,Naljets,Naljets
APY,APA Internacional,APA Internacional
APZ,Air Premia,Air Premia
AQA,Aeroatlas,"Aeroatlas, S.A."
AQL,Aquila Air,Aquila Air Ltd.
AQN,Air Queensland,Air Queensland
AQO,Aluminum Company,Aluminum Company Of America
AQS,Airstream,Airstream
AQT,Aviones de Renta,"Aviones de Renta de Quintana Roo, S.A. de C.V."
AQU,AirQuarius Aviation,AirQuarius Aviation
AQZ,Aerodyne Charter,Aerodyne Charter Company
ARA,Arik Air,Arik Air
ARB,Avia Air,Avia Air N.V.
ARC,Air Routing Interna,Air Routing International Corp.
ARD,Aerocondor,Aerocondor
ARE,LAN Colombia,LAN Colombia
ARG,Aerolíneas Argentin,Aerolíneas Argentinas
ARH,Arrowhead Airways,Arrowhead Airways
ARI,Aero Vics,Aero Vics
ARJ,Aerojet de Costa,"Aerojet de Costa Rica, S.A."
ARK,Aero Link Air,Aero Link Air Services S.L.
ARL,Airlec Air Espace,Airlec Air Espace
ARN,Aeronexus Corporate,Aeronexus Corporate
ARO,Acero Taxi,Acero Taxi
ARP,Aero Corporate,Aero Corporate
ARQ,Armstrong Air,"Armstrong Air, Inc."
ARR,Air Armenia,Air Armenia
ARS,Aeromet Servicios,Aeromet Servicios
ART,SmartLynx Airlines,SmartLynx Airlines
ARU,Aruba Airlines,Aruba Airlines
ARV,Aravco,Aravco Ltd.
ARW,Aria,Aria
ARX,Air Xpress,"Air Xpress, Inc."
ARY,Argosy Airways,Argosy Airways
ARZ,Azur Air Germany,Azur Air Germany
ASA,Alaska Airlines,Alaska Airlines
ASB,Air-Spray 1967,Air-Spray 1967 Ltd.
ASC,Air Star Corporatio,Air Star Corporation
ASD,Air Sinai,Air Sinai
ASE,Airstars,Airstars
ASF,Austrian Air Force,Austrian Air Force
ASG,African Star,African Star Airways (PTY) Ltd.
ASH,Mesa Airlines,Mesa Airlines
ASI,Aerosun Internation,"Aerosun International, Inc."
ASJ,AstonJet,AstonJet
ASK,Aerosky,Aerosky
ASL,Air Serbia,Air Serbia
ASM,Awesome Flight,Awesome Flight Services (PTY) Ltd.
ASN,Air and Sea Transpo,Air and Sea Transport
ASO,Aero Slovakia,Aero Slovakia
ASP,Airsprint,Airsprint
ASQ,ExpressJet,ExpressJet
ASR,All Star Airlines,"All Star Airlines, Inc."
ASS,"Air Class, S.A. de","Air Class, S.A. de C.V."
AST,Aerolíneas Del,Aerolíneas Del Oeste
ASV,Air Seoul,Air Seoul
ASW,Air Southwest,Air Southwest Ltd.
ASX,Air Special,Air Special
ASY,Royal Australian,Royal Australian Air Force
ATA,Air Transport,Air Transport Association
ATB,Atlantair,Atlantair Ltd.
ATC,Air Tanzania,Air Tanzania
ATD,Aerotours Dominican,Aerotours Dominicana
ATE,Atlantis Transporta,"Atlantis Transportation Services, Ltd."
ATF,Compañía Aerotécnic,Compañía Aerotécnicas Fotográficas
ATG,Aerotranscargo,Aerotranscargo
ATH,Air Travel Corp.,Air Travel Corp.
ATJ,Air Traffic,Air Traffic GmbH
ATK,AeroTACA,AeroTACA
ATL,Atlas Air Service,Atlas Air Service
ATM,Airlines of Tasmani,Airlines of Tasmania
ATN,Air Transport,Air Transport International
ATP,ASTRAL Colombia,ASTRAL Colombia - Aerotransportes Especiales Ltda.
ATQ,Air Transport,Air Transport Schiphol
ATR,Atrak Air,Atrak Air
ATS,Air Transport,Air Transport Service
ATU,Atlant Aerobatics,Atlant Aerobatics Ltd.
ATV,Avanti Air,Avanti Air
ATX,AirSWIFT,AirSWIFT
ATZ,Ace Air,Ace Air
AUA,Austrian Airlines,Austrian Airlines
AUD,Audi Air,"Audi Air, Inc."
AUF,Augusta Air Luftfah,Augusta Air Luftfahrtunternehmen
AUH,Abu Dhabi Amiri,Abu Dhabi Amiri Flight
AUI,Ukraine Internation,Ukraine International Airlines
AUJ,Business Flight,Business Flight Salzburg
AUK,Auric Air,Auric Air
AUL,Smartavia,Smartavia
AUM,Air Atlantic,Air Atlantic Uruguay
AUN,Common Sky,Common Sky
AUO,Empresa (Aero,"Empresa (Aero Uruguay), S.A."
AUP,Avia Business Group,Avia Business Group
AUR,Aurigny Air Service,Aurigny Air Services
AUS,Aus-Air,Aus-Air
AUU,Aurora Aviation,"Aurora Aviation, Inc."
AUV,FLYONE Asia,FLYONE Asia
AUX,Air Uganda Internat,Air Uganda International Ltd.
AUY,Aerolíneas Uruguaya,"Aerolíneas Uruguayas, S.A."
AUZ,Amaszonas Uruguay,Amaszonas Uruguay
AVA,Avianca,Avianca
AVB,Aviation Beauport,Aviation Beauport
AVD,Álamo Aviación,"Álamo Aviación, S.L."
AVE,Avensa,Avensa
AVF,Aviair Aviation,Aviair Aviation Ltd.
AVG,Aviation Legacy,Aviation Legacy
AVH,AV8 Helicopters,AV8 Helicopters
AVJ,Avia Traffic,Avia Traffic Company
AVK,AV8 Helicopters,AV8 Helicopters
AVM,Aviación Ejecutiva,"Aviación Ejecutiva Mexicana, S.A."
AVN,Air Vanuatu,Air Vanuatu
AVO,Aviation at Work,Aviation at Work
AVP,Avcorp Registration,Avcorp Registrations
AVQ,Aviation Services,"Aviation Services, Inc."
AVR,Avianca Express,Avianca Express
AVS,Avialsa T-35,Avialsa T-35
AVT,Asia Avia Airlines,Asia Avia Airlines
AVU,Avia Sud Aérotaxi,Avia Sud Aérotaxi
AVV,Airvantage Incorpor,Airvantage Incorporated
AVW,Aviator Airways,Aviator Airways
AVX,Aeroclub de Vitoria,Aeroclub de Vitoria
AVY,Aerovaradero,"Aerovaradero, S.A."
AVZ,Air Valencia,Air Valencia
AWA,Air Astra,Air Astra
AWB,Airways Internation,"Airways International, Inc."
AWC,Titan Airways,Titan Airways
AWD,Providence Aviation,Providence Aviation Services
AWE,US Airways,US Airways
AWG,Anima Wings,Anima Wings
AWH,Aerowest,Aerowest
AWI,Air Wisconsin,Air Wisconsin
AWJ,Sahel Airlines,Sahel Airlines
AWK,Airwork,Airwork
AWL,Air Walser,Air Walser
AWN,Air Niamey,Air Niamey
AWO,Awood Air,Awood Air Ltd.
AWP,Aeroworld Pakistan,Aeroworld Pakistan
AWQ,Indonesia AirAsia,Indonesia AirAsia
AWR,Arctic Wings And,Arctic Wings And Rotors Ltd.
AWS,Arab Wings,Arab Wings
AWT,Albawings,Albawings
AWU,Sylt Air,Sylt Air
AWV,Airwave Transport,"Airwave Transport, Inc."
AWY,"Aeroway, S.L.","Aeroway, S.L."
AWZ,Air West Cargo,Air West Cargo
AXB,Air India Express,Air India Express
AXD,Air Express,Air Express
AXE,AirExplore,AirExplore
AXH,Aeromexhaga,Aeromexhaga
AXI,Aeron International,"Aeron International Airlines, Inc."
AXK,African Express,African Express Airways
AXM,AirAsia,AirAsia
AXN,Alexandair,Alexandair
AXP,Aeromax,Aeromax
AXQ,Action Airlines,Action Airlines (Action Air Charter)
AXR,Axel Rent,"Axel Rent, S.A."
AXS,Axis Aviation San,Axis Aviation San Marino
AXV,AVA Airlines,AVA Airlines
AXX,Advance Air Luftfah,Advance Air Luftfahrtgesellschaft
AXY,Air X Charter,Air X Charter
AYB,Belgian Army,Belgian Army
AYD,Aladia Airlines,Aladia Airlines
AYE,Yunnan Yingan,Yunnan Yingan Airlines
AYG,Air Thanlwin,Air Thanlwin
AYJ,Zeman Nextgen,Zeman Nextgen
AYK,Aykavia Aircompany,Aykavia Aircompany
AYM,"Airman, S.L.","Airman, S.L."
AYN,FlyArystan,FlyArystan
AYR,Flight Training,Flight Training Europe
AYS,Madagasikara,Madagasikara Airways
AYT,Ayeet Aviation &,Ayeet Aviation & Tourism
AYU,Yuhi Air Lines,Yuhi Air Lines
AYY,Air Alliance,Air Alliance Express
AYZ,Atlant-Soyuz,Atlant-Soyuz Airlines
AZB,Zambia Airways,Zambia Airways
AZD,Zimex Aviation,Zimex Aviation Austria
AZE,Arcus-Air Logistic,Arcus-Air Logistic
AZF,Air Zermatt,Air Zermatt AG
AZG,Silk Way West,Silk Way West Airlines
AZI,Astra Airlines,Astra Airlines
AZK,Azalhelikopter,Azalhelikopter
AZL,Africa One,Africa One
AZM,Azman Air,Azman Air
AZN,Amaszonas,Amaszonas
AZO,Azimut,Azimut
AZP,Paranair,Paranair
AZQ,Silk Way Airlines,Silk Way Airlines
AZR,Zenith Air,Zenith Air
AZS,Aviacon Zitotrans,Aviacon Zitotrans Air Company
AZT,Azimut,"Azimut, S.A."
AZU,Azul Linhas Aéreas,Azul Linhas Aéreas Brasileiras
AZV,Azur Air,Azur Air
AZW,Air Zimbabwe,Air Zimbabwe
AZX,Air Max Africa,Air Max Africa
AZY,Aztec Worldwide,Aztec Worldwide Airlines
AZZ,Azza Transport,Azza Transport
BAA,Balkan Agro Aviatio,Balkan Agro Aviation
BAB,Bahrain Air BSC,Bahrain Air BSC (Closed)
BAC,BAC Leasing,BAC Leasing Limited
BAE,BAE Systems,BAE Systems
BAF,Belgian Air Force,Belgian Air Force
BAH,The Amiri Flight,The Amiri Flight
BAJ,Baker Aviation,Baker Aviation
BAK,Blackhawk Airways,Blackhawk Airways
BAL,Belle Air Europe,Belle Air Europe
BAM,Business Air,Business Air Services
BAN,British Antarctic,British Antarctic Survey
BAP,Trans International,Trans International Express Aviation
BAR,Abu Dhabi Aviation,Abu Dhabi Aviation
BAS,Aero Services,Aero Services
BAT,Premiair,Premiair
BAU,Bissau Airlines,Bissau Airlines
BAV,Bamboo Airways,Bamboo Airways
BAW,British Airways,British Airways
BAX,Best Aero Handling,Best Aero Handling Ltd
BAY,Bravo Airways,Bravo Airways
BBA,Bombardier,Bombardier
BBB,Blackbird Air,Blackbird Air
BBC,Biman Bangladesh,Biman Bangladesh Airlines
BBD,Bluebird Cargo,Bluebird Cargo
BBE,Ababeel Aviation,Ababeel Aviation
BBG,Blue Bird Airways,Blue Bird Airways
BBJ,Blue Air Lines,Blue Air Lines
BBL,BBN Airlines,BBN Airlines Indonesia
BBO,Flybaboo,Flybaboo
BBQ,Eastern Air Express,Eastern Air Express
BBR,SBA Airlines,SBA Airlines
BBS,Beibars CJSC,Beibars CJSC
BBT,BBN Airlines,BBN Airlines
BBX,Bel Air Aviation,Bel Air Aviation
BBZ,Bluebird Aviation,Bluebird Aviation
BCB,Carib Express,Carib Express
BCC,Business Air,Business Air
BCF,BACH Flugbetriebsge,BACH Flugbetriebsges
BCH,Phillips Air,Phillips Air
BCI,Blue Islands,Blue Islands
BCJ,Blue Jet Charters,Blue Jet Charters
BCK,Priority Aviation,Priority Aviation Company
BCN,Ocean Air,Ocean Air
BCR,British Charter,British Charter
BCS,European Air,European Air Transport
BCT,BCT Aviation,BCT Aviation
BCV,Bestfly Cabo Verde,Bestfly Cabo Verde
BCY,CityJet,CityJet
BDA,Blue Dart Aviation,Blue Dart Aviation
BDF,Bissau Discovery,Bissau Discovery Flying Club
BDG,Mississippi State,Mississippi State University
BDI,Benair,Benair
BDJ,Deer Jet Beijing,Deer Jet Beijing
BDM,Air Bandama,Air Bandama
BDN,QinetiQ,QinetiQ
BDR,Badr Airlines,Badr Airlines
BDS,South Asian Airline,South Asian Airlines
BDV,Aberdair Aviation,Aberdair Aviation
BEA,Best Aviation,Best Aviation Ltd
BEC,State Air Company,State Air Company Berkut
BED,Belgorod Aviation,Belgorod Aviation Enterprise
BEF,Balear Express,Balear Express
BEH,Bel Air Helicopters,Bel Air Helicopters
BEK,Bek Air,Bek Air
BEL,Brussels Airlines,Brussels Airlines
BER,Fly Air41 Airways,Fly Air41 Airways
BES,Bees Airlines,Bees Airlines
BET,BETA - Brazilian,BETA - Brazilian Express Transportes Aéreos
BEZ,Kingfisher Air,Kingfisher Air Services
BFA,Presidence Du Faso,Presidence Du Faso
BFC,Basler Flight,Basler Flight Service
BFD,Bertelsmann,Bertelsmann
BFF,Air Nunavut,Air Nunavut
BFG,Bear Flight,Bear Flight
BFL,Buffalo Airways,Buffalo Airways
BFN,Compangnie National,Compangnie Nationale Naganagani
BFO,Bombardier,Bombardier
BFR,Burkina Airlines,Burkina Airlines
BFS,Business Flight,Business Flight Sweden
BFW,Bahrain Defence,Bahrain Defence Force
BFX,Fly Away,Fly Away
BGA,Airbus Transport,Airbus Transport International
BGD,Air Bangladesh,Air Bangladesh
BGF,Aviodetachment-28,Aviodetachment-28
