# Tipi di aeromobile: da designatore ICAO a nome commerciale.
#
#   codice ICAO,forma breve,nome completo
#
# Nella prima colonna puoi mettere piu' codici separati da `/` se due
# designatori diversi vanno tradotti allo stesso modo.
#
# La forma breve va sul pannello, dove lo spazio e' poco. Il nome completo
# compare nella web UI e nel registro dei passaggi.
#
# Un codice che non e' qui dentro viene mostrato com'e': non e' un errore.
# La pagina Radar elenca quelli incontrati e non tradotti, ordinati per
# frequenza: quella e' la lista di cosa conviene aggiungere per primo.
#
# Righe che iniziano con # sono commenti. Una riga sbagliata si perde da
# sola, le altre restano valide.
#
# Questo elenco e' un punto di partenza: se trovi un errore, correggilo,
# e' una riga. Il file non viene mai sovrascritto dagli aggiornamenti.
# --- Airbus ---
A19N,A319neo,Airbus A319neo
DA40,DA40,Diamond DA40
DA42,DA42,Diamond DA42 Twin Star
DA62,DA62,Diamond DA62
DV20,DV20,Diamond DV20 Katana
AT8T,Air Tractor,Air Tractor AT-802
# --- Elicotteri ---
R44,Robinson R44,Robinson R44
R66,Robinson R66,Robinson R66
EC35,H135,Airbus H135
EC45,H145,Airbus H145
EC30,H130,Airbus H130
AS50,Ecureuil,Airbus AS350 Ecureuil
A139,AW139,Leonardo AW139
A169,AW169,Leonardo AW169
A189,AW189,Leonardo AW189
B06,Bell 206,Bell 206 JetRanger
B429,Bell 429,Bell 429
S76,S-76,Sikorsky S-76
# --- Militari e cargo ---
C130,C-130,Lockheed C-130 Hercules
C30J,C-130J,Lockheed C-130J Super Hercules
K35R,KC-135,Boeing KC-135 Stratotanker
E3TF,E-3 Sentry,Boeing E-3 Sentry AWACS
P8,P-8 Poseidon,Boeing P-8 Poseidon
EUFI,Eurofighter,Eurofighter Typhoon
F16,F-16,General Dynamics F-16
A124,An-124,Antonov An-124 Ruslan
C27J,C-27J,Leonardo C-27J Spartan
B407,Bell 407,Bell 407
C560,Citation V,Cessna Citation V
E35L,Legacy 600,Embraer Legacy 600 / 650
P208,P2008,Tecnam P2008
P68,P.68,Partenavia / Vulcanair P.68
SVNH,Savannah,ICP Savannah
A109,AW109,AgustaWestland AW109
A351,A350-1000,Airbus A350-1000
HA4T,HondaJet,HondaJet HA-420
SF50,Vision Jet,Cirrus SF50 Vision Jet
E55P,Phenom 300,Embraer Phenom 300
PC24,PC-24,Pilatus PC-24
