# Aeroporti: da codice a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Nella prima colonna puoi mettere piu' codici separati da `/`: qui trovi il
# codice IATA di tre lettere (MXP) e quello ICAO di quattro (LIMC) sulla
# stessa riga, perche' il servizio delle rotte a volte risponde con l'uno e a
# volte con l'altro. Basta che uno dei due corrisponda.
#
# La forma breve va sul pannello, il nome completo nella web UI e nel
# registro dei passaggi.
FCO/LIRF,Fiumicino,Roma Fiumicino
TRF/ENTO,Torp,Sandefjord Torp
BGO/ENBR,Bergen,Bergen
TRD/ENVA,Trondheim,Trondheim
SVG/ENZV,Stavanger,Stavanger
HEL/EFHK,Helsinki,Helsinki Vantaa
KEF/BIKF,Reykjavik,Reykjavik Keflavik
RIX/EVRA,Riga,Riga
TLL/EETN,Tallinn,Tallinn
VNO/EYVI,Vilnius,Vilnius
KUN/EYKA,Kaunas,Kaunas
# --- Europa centrale e orientale ---
WAW/EPWA,Varsavia,Varsavia Chopin
WMI/EPMO,Modlin,Varsavia Modlin
KRK/EPKK,Cracovia,Cracovia
KTW/EPKT,Katowice,Katowice
GDN/EPGD,Danzica,Danzica
WRO/EPWR,Breslavia,Breslavia
POZ/EPPO,Poznan,Poznan
PRG/LKPR,Praga,Praga
BRQ/LKTB,Brno,Brno
BTS/LZIB,Bratislava,Bratislava
BUD/LHBP,Budapest,Budapest Ferenc Liszt
DEB/LHDC,Debrecen,Debrecen
OTP/LROP,Bucarest,Bucarest Otopeni
CLJ/LRCL,Cluj,Cluj-Napoca
TSR/LRTR,Timisoara,Timisoara
SOF/LBSF,Sofia,Sofia
VAR/LBWN,Varna,Varna
BOJ/LBBG,Burgas,Burgas
# --- Balcani ---
BEG/LYBE,Belgrado,Belgrado Nikola Tesla
ZAG/LDZA,Zagabria,Zagabria
SPU/LDSP,Spalato,Spalato
DBV/LDDU,Dubrovnik,Dubrovnik
PUY/LDPL,Pola,Pola
ZAD/LDZD,Zara,Zara
RJK/LDRI,Fiume,Fiume
LJU/LJLJ,Lubiana,Lubiana
SJJ/LQSA,Sarajevo,Sarajevo
TGD/LYPG,Podgorica,Podgorica
TIV/LYTV,Tivat,Tivat
TIA/LATI,Tirana,Tirana
SKP/LWSK,Skopje,Skopje
OHD/LWOH,Ohrid,Ohrid
PRN/BKPR,Pristina,Pristina
# --- Grecia, Turchia, Cipro, Malta ---
ATH/LGAV,Atene,Atene
SKG/LGTS,Salonicco,Salonicco
HER/LGIR,Heraklion,Creta Heraklion
CHQ/LGSA,Chania,Creta Chania
RHO/LGRP,Rodi,Rodi
CFU/LGKR,Corfu,Corfu
JMK/LGMK,Mykonos,Mykonos
JTR/LGSR,Santorini,Santorini
KGS/LGKO,Kos,Kos
ZTH/LGZA,Zante,Zante
IST/LTFM,Istanbul,Istanbul
SAW/LTFJ,Sabiha,Istanbul Sabiha Gokcen
AYT/LTAI,Antalya,Antalya
ADB/LTBJ,Izmir,Izmir
ESB/LTAC,Ankara,Ankara Esenboga
DLM/LTBS,Dalaman,Dalaman
BJV/LTFE,Bodrum,Bodrum
LCA/LCLK,Larnaca,Larnaca
PFO/LCPH,Paphos,Paphos
MLA/LMML,Malta,Malta
# --- Russia e Ucraina ---
SVO/UUEE,Sheremetyevo,Mosca Sheremetyevo
DME/UUDD,Domodedovo,Mosca Domodedovo
VKO/UUWW,Vnukovo,Mosca Vnukovo
LED/ULLI,San Pietroburgo,San Pietroburgo Pulkovo
KBP/UKBB,Kiev,Kiev Boryspil
# --- Medio Oriente e Golfo ---
TLV/LLBG,Tel Aviv,Tel Aviv Ben Gurion
AMM/OJAI,Amman,Amman
BEY/OLBA,Beirut,Beirut
DXB/OMDB,Dubai,Dubai
DWC/OMDW,Dubai Al Maktoum,Dubai World Central
AUH/OMAA,Abu Dhabi,Abu Dhabi
DOH/OTHH,Doha,Doha Hamad
KWI/OKKK,Kuwait,Kuwait
BAH/OBBI,Bahrein,Bahrein
MCT/OOMS,Mascate,Mascate
RUH/OERK,Riyadh,Riyadh
JED/OEJN,Gedda,Gedda
# --- Africa ---
CAI/HECA,Il Cairo,Il Cairo
HRG/HEGN,Hurghada,Hurghada
SSH/HESH,Sharm,Sharm el Sheikh
TUN/DTTA,Tunisi,Tunisi Cartagine
DJE/DTTJ,Djerba,Djerba
MIR/DTMB,Monastir,Monastir
CMN/GMMN,Casablanca,Casablanca Mohammed V
RAK/GMMX,Marrakech,Marrakech
AGA/GMAD,Agadir,Agadir
TNG/GMTT,Tangeri,Tangeri
ALG/DAAG,Algeri,Algeri
ORN/DAOO,Orano,Orano
TIP/HLLT,Tripoli,Tripoli
JNB/FAOR,Johannesburg,Johannesburg
CPT/FACT,Citta del Capo,Citta del Capo
NBO/HKJK,Nairobi,Nairobi
ADD/HAAB,Addis Abeba,Addis Abeba
LOS/DNMM,Lagos,Lagos
ACC/DGAA,Accra,Accra
DKR/GOOY,Dakar,Dakar
MRU/FIMP,Mauritius,Mauritius
SEZ/FSIA,Seychelles,Seychelles
ZNZ/HTZA,Zanzibar,Zanzibar
# --- Asia ---
DEL/VIDP,Delhi,Nuova Delhi
BOM/VABB,Mumbai,Mumbai
BLR/VOBL,Bangalore,Bangalore
MAA/VOMM,Chennai,Chennai
HYD/VOHS,Hyderabad,Hyderabad
CCU/VECC,Calcutta,Calcutta
COK/VOCI,Kochi,Kochi
MLE/VRMM,Maldive,Male Maldive
CMB/VCBI,Colombo,Colombo
KTM/VNKT,Kathmandu,Kathmandu
BKK/VTBS,Bangkok,Bangkok Suvarnabhumi
DMK/VTBD,Don Mueang,Bangkok Don Mueang
HKT/VTSP,Phuket,Phuket
SIN/WSSS,Singapore,Singapore Changi
KUL/WMKK,Kuala Lumpur,Kuala Lumpur
CGK/WIII,Giacarta,Giacarta
DPS/WADD,Bali,Denpasar Bali
MNL/RPLL,Manila,Manila
HAN/VVNB,Hanoi,Hanoi
SGN/VVTS,Ho Chi Minh,Ho Chi Minh
HKG/VHHH,Hong Kong,Hong Kong
TPE/RCTP,Taipei,Taipei Taoyuan
ICN/RKSI,Seul,Seul Incheon
NRT/RJAA,Narita,Tokyo Narita
HND/RJTT,Haneda,Tokyo Haneda
KIX/RJBB,Kansai,Osaka Kansai
NGO/RJGG,Nagoya,Nagoya Chubu
PEK/ZBAA,Pechino,Pechino Capital
PKX/ZBAD,Daxing,Pechino Daxing
PVG/ZSPD,Shanghai,Shanghai Pudong
SHA/ZSSS,Hongqiao,Shanghai Hongqiao
CAN/ZGGG,Canton,Canton Baiyun
SZX/ZGSZ,Shenzhen,Shenzhen
CTU/ZUUU,Chengdu,Chengdu
XIY/ZLXY,Xi'an,Xi'an
# --- Nord America ---
JFK/KJFK,New York JFK,New York John F. Kennedy
EWR/KEWR,Newark,New York Newark
LGA/KLGA,LaGuardia,New York LaGuardia
BOS/KBOS,Boston,Boston Logan
PHL/KPHL,Filadelfia,Filadelfia
IAD/KIAD,Washington Dulles,Washington Dulles
DCA/KDCA,Washington Reagan,Washington Reagan
BWI/KBWI,Baltimora,Baltimora
ATL/KATL,Atlanta,Atlanta Hartsfield-Jackson
MIA/KMIA,Miami,Miami
FLL/KFLL,Fort Lauderdale,Fort Lauderdale
MCO/KMCO,Orlando,Orlando
TPA/KTPA,Tampa,Tampa
ORD/KORD,Chicago O'Hare,Chicago O'Hare
MDW/KMDW,Chicago Midway,Chicago Midway
DTW/KDTW,Detroit,Detroit
MSP/KMSP,Minneapolis,Minneapolis Saint Paul
CLT/KCLT,Charlotte,Charlotte
DEN/KDEN,Denver,Denver
LAX/KLAX,Los Angeles,Los Angeles
SFO/KSFO,San Francisco,San Francisco
SJC/KSJC,San Jose,San Jose
SEA/KSEA,Seattle,Seattle Tacoma
PDX/KPDX,Portland,Portland
LAS/KLAS,Las Vegas,Las Vegas Harry Reid
PHX/KPHX,Phoenix,Phoenix Sky Harbor
SLC/KSLC,Salt Lake City,Salt Lake City
DFW/KDFW,Dallas,Dallas Fort Worth
IAH/KIAH,Houston,Houston Intercontinental
AUS/KAUS,Austin,Austin
SAN/KSAN,San Diego,San Diego
HNL/PHNL,Honolulu,Honolulu
YYZ/CYYZ,Toronto,Toronto Pearson
YUL/CYUL,Montreal,Montreal Trudeau
YVR/CYVR,Vancouver,Vancouver
YYC/CYYC,Calgary,Calgary
YOW/CYOW,Ottawa,Ottawa
# --- America centrale e meridionale ---
MEX/MMMX,Citta del Messico,Citta del Messico
CUN/MMUN,Cancun,Cancun
GDL/MMGL,Guadalajara,Guadalajara
GRU/SBGR,San Paolo,San Paolo Guarulhos
GIG/SBGL,Rio de Janeiro,Rio de Janeiro Galeao
BSB/SBBR,Brasilia,Brasilia
EZE/SAEZ,Buenos Aires,Buenos Aires Ezeiza
AEP/SABE,Aeroparque,Buenos Aires Aeroparque
SCL/SCEL,Santiago,Santiago del Cile
LIM/SPJC,Lima,Lima
BOG/SKBO,Bogota,Bogota
UIO/SEQM,Quito,Quito
PTY/MPTO,Panama,Panama Tocumen
HAV/MUHA,L'Avana,L'Avana
PUJ/MDPC,Punta Cana,Punta Cana
SJU/TJSJ,San Juan,San Juan Porto Rico
MBJ/MKJS,Montego Bay,Montego Bay
# --- Oceania ---
SYD/YSSY,Sydney,Sydney
MEL/YMML,Melbourne,Melbourne
BNE/YBBN,Brisbane,Brisbane
PER/YPPH,Perth,Perth
ADL/YPAD,Adelaide,Adelaide
AKL/NZAA,Auckland,Auckland
CHC/NZCH,Christchurch,Christchurch
NAN/NFFN,Nadi,Nadi Figi
