# Catalogo degli aeroporti: da codice IATA/ICAO a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aeroporti.csv, che vince sempre su questo.
#
# Fonte: OurAirports (pubblico dominio). Scali, non eliporti.
# 18361 voci.
AAA/NTGA,Anaa,Anaa Airport
NZPI,Parakai,Parakai Aerodrome
NZPO,Pōrangahau,Pōrangahau Aerodrome
NZPT,Pitt Island,Pitt Island Aerodrome
NZPW,Papawai,Papawai Airfield
NZRI,Rangitata Island,Rangitata Island Airport
NZRK,Rangitaiki,Rangitaiki Airfield
NZRR,Ruatoria,Ruatoria Airfield
NZRT,Rangiora,Rangiora Airfield
NZRU,Waiouru,Waiouru Airport
NZRW,Ruawai,Ruawai Aerodrome
NZRX,Roxburgh,Roxburgh Aerodrome
NZSD,Stratford,Stratford Airport
NZSF,Springfield,Springfield Airport
NZSL,Springhill,Springhill Airport
NZSP,Amundsen-Scott,Amundsen–Scott South Pole Station Airport
NZTA,Te Aroha,Te Aroha Airfield
NZTE,Te Kowhai,Te Kowhai Airfield
NZTI,Dunedin,Dunedin Taieri Aerodrome
NZTL,Tekapo,Tekapo Aerodrome
NZTM,Taumarunui,Taumarunui Airport
NZTN,Turangi,Turangi Airport
NZTT,Te Kuiti,Te Kuiti Aerodrome
NZUN,Pauanui,Pauanui Aerodrome
NZVL,Mandeville,Mandeville Aerodrome
NZVR,Taihape,Taihape Airport
NZWD,McMurdo Station,McMurdo Station Williams Field Skiway
NZWL,West Melton,West Melton Aerodrome
NZWM,Waimate,Waimate Airport
NZWP,RNZAF Base Auckland,RNZAF Base Auckland-Whenuapai
NZWQ,Te Kao,Te Kao Waitiki Aerodrome
NZWV,Island View,Island View Waihi Beach Airport
NZY/KNZY,San Diego,San Diego North Island Naval Air Station-Halsey Field
NZYP,Waipukurau,Waipukurau Airport
OAA/OASH,Baraki Barak,Baraki Barak Shank Air Base
OAAK,Andkhoy,Andkhoy Airport
OAEM,Ishkashim,Ishkashim Airport
OAG/YORG,Orange,Orange Airport
OAH/OASD,Shindand,Shindand Air Base
OAI/OAIX,Bagram,Bagram Airfield
OAJ/KOAJ,Richlands,Richlands Albert J Ellis Airport
OAJG,Joghari,Joghari Airport
OAK/KOAK,Oakland,Oakland San Francisco Bay Airport
OAKG,Khoja-i-Ghar,Khoja-i-Ghar Airport
OAL/SSKW,Cacoal,Cacoal Airport
OALG,Logar,Logar Airport
OALP,Erghail,Erghail Little Pamir Airport
OAM/NZOU,Oamaru,Oamaru Airport
OAMK,Muqur,Muqur Airport
OAN/MHEA,Olanchito,Olanchito El Arrayán Airport
OANL,Nili,Nili Airport
OAPJ,Panjab,Panjab Airport
OAQA,Qalat,Qalat Airport
OAQM,Koran va Monjan,Koran va Monjan Airport
OAR/KOAR,Marina,Marina Municipal Airport
OART,Rostaq,Rostaq Airport
OAS/OASA,Sharana,Sharana Airstrip
OASG,Sheberghan,Sheberghan Airport
OATW,Taywarah,Taywarah Airport
OAX/MMOX,Oaxaca,Oaxaca Xoxocotlán International Airport
OAYQ,Yangi Qaleh,Yangi Qaleh Airport
OAYW,Yawan,Yawan Airport
OAZ/OAZI,Lashkar Gah,Lashkar Gah Camp Shorabak Airfield
OBA/YOBN,Oban,Oban Airport
OBBS,Sitrah,Sitrah Sheik Isa Air Base
OBC/HDOB,Obock,Obock Airport
OBD,Obano,Obano Airport
OBE/KOBE,Okeechobee,Okeechobee County Airport
OBF/EDMO,Weßling,Weßling Oberpfaffenhofen Airport
OBI/SNTI,Óbidos,Óbidos Municipal Airport
OBKH,Zallaq,Zallaq Sakhir Air Base
OBL/EBZR,Zoersel,Zoersel Oostmalle Airfield
OBM/AYMB,Morobe,Morobe Airport
OBN/EGEO,North Connel,North Connel Oban Airport
OBO/RJCB,Obihiro,Tokachi-Obihiro Airport
OBS/LFHO,"Lanas, Ardèche",Aubenas-South Ardèche Airport
OBU/PAOB,Kobuk,Kobuk Airport
OBX/AYOB,Obo,Obo Airport
OCA,Key Largo,Key Largo Ocean Reef Club Airport
OCC/SECO,Coca,Coca Francisco De Orellana Airport
OCE/KOXB,Ocean City,Ocean City Municipal Airport
OCF/KOCF,Ocala,Ocala International Airport - Jim Taylor Field
OCH/KOCH,Nacogdoches,Nacogdoches A L Mangham Jr. Regional Airport
OCJ/MKBS,Boscobel,Boscobel Ian Fleming International Airport
OCM/YBGD,Boolgeeda,Boolgeeda
OCN/KOKB,Oceanside,Oceanside Municipal Airport
OCS/FGCO,Corisco Island,Corisco International Airport
OCV/SKOC,Ocaña,Ocaña Aguas Claras Airport
OCW/KOCW,Washington,Washington Warren Field
ODA/FEFW,Ouadda,Ouadda Airport
ODB/LEBA,Córdoba,Córdoba Airport
ODC,Oakdale,Oakdale Airport
ODD/YOOD,Oodnadatta,Oodnadatta Airport
ODE/EKOD,Odense,Odense Hans Christian Andersen Airport
ODH/EGVO,"Hook, Hampshire","Hook, Hampshire RAF Odiham"
ODJ/FEGO,Ouanda Djallé,Ouanda Djallé Airport
ODL/YCOD,Cordillo Downs,Cordillo Downs Airport
ODM,Accident,Accident Garrett County Airport
ODN/WBGI,Long Seridan,Long Seridan Airport
ODO/UIKB,Bodaybo,Bodaybo Airport
ODR/YORV,Ord River,Ord River Airport
ODS/UKOO,Odesa,Odesa International Airport
ODT/KODO,Odessa,Odessa Schlemeyer Field
ODW/KOKH,Oak Harbor,Oak Harbor AJ Eisenberg Airport
ODY/VLOS,Oudomsay,Oudomsay Airport
OEA/KOEA,Lawrenceville,Lawrenceville O'Neal Airport
OEAA,Jubail,Jubail Abu Ali Airport
OEAD,Ardah,Ardah Aradah Airport
OEBN,Thabhloten,Thabhloten Thablotin Airport
OEBQ,Buqayq,Buqayq Abqaiq Airport
OEBT,Batha,Batha Airport
OEC/WPOC,Oecussi-Ambeno,Oecussi-Ambeno Oecusse Route of the Sandalwood International Airport
OEHR,Harad,Harad Haradh Airport
OEHW,Hawtah,Hawtah Airport
OEJB,Jubail,Jubail Airport
OEJF,Jeddah,Jeddah King Faisal Naval Base
OEJL,Jubail,Jubail King Abdulaziz Naval Base
OEKF,King Faisal Air,King Faisal Air Academy Airport
OEKJ,Al Kharj,Al Kharj Airport
OEKN,Khurais,Khurais Airport
OEKR,Khurais oil field,Old Khurais Airport
OEM/SMPA,Paloemeu,Paloemeu Vincent Fayks Airport
OEMD,The Saudi Aviation,The Saudi Aviation Club (SAC) Airport
OENR,Nariya,Nariya Airport
OEO/KOEO,Osceola,Osceola L O Simenstad Municipal Airport
OEOM,Umm Al Melh,Umm Al Melh Border Guards Airport
OEPC,Wasea,Wasea Pump Station 3 Airport
OEPF,Pump Station 6,Pump Station 6 Airport
OEPI,Pump Station 9,Pump Station 9 Airport
OEPJ,Pump Station 10,Pump Station 10 Airport
OEPK,Hafar al Batin,Hafar al Batin IPSA 3 Airport
OER/ESNO,Örnsköldsvik,Örnsköldsvik Airport
OERB,Rabigh,Rabigh Airport
OERG,Al-Rass,Al-Rass Airport
OERM,Al Mishab,Ras Mishab Airport
OERT,Ras Tanura,Ras Tanura Airport
OES/SAVN,San Antonio Oeste,San Antonio Oeste Antoine de Saint Exupéry Airport
OESB,Shaybah,Shaybah Shaibah Airport
OESN,Riyadh,Riyadh King Salman Air Base
OESS,Al Ghat,Soltana Al-Ghat Airport
OEST,Shubaytah,Shubaytah Airport
OETH,Thumamah,Thumamah Airport
OETN,As Saffaniyah,As Saffaniyah Ras Tanajib Airport
OEUD,Udhailiyah,Udhailiyah Airport
OEUM,Umm Lejj,Umm Lejj Ummlejj Airport
OFF/KOFF,Omaha,Omaha Offutt Air Force Base
OFI/DIOF,Ouango Fitini,Ouango Fitini Airport
OFK/KOFK,Norfolk,Norfolk Karl Stefan Memorial Airport
OFU/NSAS,Ofu,Ofu Airport
OGA/KOGA,Ogallala,Ogallala Municipal Airport Searle Field
OGB/KOGB,Orangeburg,Orangeburg Municipal Airport
OGD/KOGD,Ogden,Ogden Hinckley Airport
OGE/AYOG,Ogeranang,Ogeranang Airport
OGG/PHOG,Kahului,Kahului International Airport
OGL/SYEC,Ogle,Ogle Eugene F. Correia International Airport
OGM,Ustupu,Ustupu Ogobsucum Airport
OGN/ROYN,Yonaguni,Yonaguni Airport
OGO/DIAU,Abengourou,Abengourou Airport
OGR/FTTB,Bongor,Bongor Airport
OGS/KOGS,Ogdensburg,Ogdensburg International Airport
OGU/LTCB,Ordu,Ordu–Giresun Airport
OGX/DAUU,Ouargla,Ouargla Ain Beida Airport
OGZ/URMO,Beslan,Vladikavkaz Beslan International Airport
OHA/NZOH,RNZAF Base Ohakea,RNZAF Base Ohakea
OHB/FMFE,Moramanga,Moramanga Ambohibary Airport
OHD/LWOH,Ohrid,Ohrid St. Paul the Apostle Airport
OHE/ZYMH,Mohe,Mohe Gulian Airport
OHH/UHSH,Okha,Okha Airport
OHI/FYOS,Oshakati,Oshakati Airport
OHO/UHOO,Okhotsk,Okhotsk Airport
OHR/EDXY,Wyk auf Föhr,Wyk auf Föhr Airport
OHS/OOSH,Suhar,Suhar International Airport
OHT/OPKT,Kohat,Kohat Airport
OIA/SDOW,Ourilândia do Norte,Ourilândia do Norte Airport
OIBH,Bastak,Bastak Airport
OIC/KOIC,Norwich,Norwich Lt Warren Eaton Airport
OICB,Baneh,Baneh Airport
OICD,Abdanan,Abdanan Airport
OICZ,Aligoodarz,Aligoodarz Airport
OIFH,Esfahan,Esfahan Shahid Vatanpour Army Air Base
OIFP,Esfahan,Esfahan Badr Air Base
OIFV,Zarrinshahr,Zarrinshahr Airport
OIHM,Malayer,Malayer Airport
OIIA,Gharpuz Abad,Gharpuz Abad Qazvin Azadi Airport
OIIB,Eyvanekey,Eyvanekey Aflak-e-Asia Airport
OIIC,Qāshqābolāq,Qāshqābolāq Manzariyeh Air Base
OIID,Tehran,Tehran Doshan Tappeh Air Base
OIIM,Karaj,Karaj Naja Airport
OIM/RJTO,Izu Oshima,Oshima Airport
OIMD,Gonabad,Gonabad Airport
OIMH,Torbat-E-Heidarieh,Torbat-e Heydarieh Airport
OIMX,Soga,Soga Airport
OINM,Mahmood Abad,Mahmood Abad Airport
OIR/RJEO,Okushiri Island,Okushiri Airport
OISA,Abadeh,Abadeh Airport
OISD,Bargan,Bargan Darab Airport
OISO,Zarqan,Zarqan Airport
OIT/RJFO,Oita,Oita Airport
OITS,Saghez,Saghez Airport
OIZS,Saravan,Saravan Airport
OJC/KOJC,Olathe,Olathe Johnson County Executive Airport
OJHR,H4 Air Base,H4 Air Base
OJKF,Al-Jafr,Al-Jafr King Feisal Air Base
OJMS,Al Azraq,Al Azraq Muwaffaq Salti Air Base
OJPH,Prince Hassan Air,Prince Hassan Air Base
OJU/WAFU,Tojo Una-Una,Tojo Una-Una Tanjung Api Airport
OKA/ROAH,Naha,Naha International Airport
OKAS,Al Damaikhi,Ali Al Salem Air Base
OKB/YORC,Orchid Beach,Orchid Beach Airport
OKC/KOKC,Oklahoma City,Oklahoma City OKC Will Rogers World Airport
OKD/RJCO,Sapporo,Sapporo Okadama Airport
OKDI,Camp Buehring,Camp Buehring Udairi Army Air Field
OKE/RJKB,Wadomari,Wadomari Okinoerabu Airport
OKF/FYOO,Okaukuejo,Okaukuejo Airport
OKG,Okoyo,Okoyo Airport
OKI/RJNO,Okinoshima,Okinoshima Oki Global Geopark Airport
OKJ/RJOB,Okayama,Okayama Momotaro Airport
OKK/KOKK,Kokomo,Kokomo Municipal Airport
OKL/WAJO,Oksibil,Oksibil Airport
OKM/KOKM,Okmulgee,Okmulgee Regional Airport
OKN/FOGQ,Okondja,Okondja Airport
OKO/RJTY,Fussa,Fussa Yokota Air Base
OKP/AYOJ,Oksapmin,Oksapmin Airport
OKQ/WAKO,Okaba,Okaba Airport
OKR/YYKI,Yorke Island,Yorke Island Airport
OKS/KOKS,Oshkosh,Oshkosh Garden County Airport/King Rhiley Field
OKT/UWUK,Kzyl-Yar,Kzyl-Yar Oktyabrskiy Airport
OKU/FYMO,Mokuti Lodge,Mokuti Lodge Airport
OKV/AYOF,Okao,Okao Airport
OKY/YBOK,Oakey Army Aviation,Oakey Army Aviation Centre
OLA/ENOL,Ørland,Ørland Airport
OLB/LIEO,Olbia (SS),Olbia Costa Smeralda Airport
OLC/SDCG,São Paulo De,São Paulo De Olivença Senadora Eunice Micheles Airport
OLD/KOLD,Old Town,Dewitt Field - Old Town Municipal Airport
OLE/KOLE,Olean,Cattaraugus County-Olean Airport
OLF/KOLF,Wolf Point,Wolf Point L M Clayton Airport
OLG,Mara,Mara Olare Orok Airfield
OLH,Old Harbor,Old Harbor Airport
OLI/BIRF,Rif,Rif Airport
OLJ/NVSZ,Olpoi,Olpoi North West Santo Airport
OLK/SGOL,Fuerte Olimpo,Aeródromo de Fuerte
OLL/FCOD,Oyo,Oyo Ollombo Airport
OLM/KOLM,Olympia,Olympia Regional Airport
OLN/SAVM,Sarmiento,Sarmiento Lago Musters Airport
OLO/LKOL,Olomouc,Olomouc Airport
OLP/YOLD,Olympic Dam,Olympic Dam Airport
OLQ/AYOV,Olsobip,Olsobip Airport
OLR/OASL,Khost,Khost Salerno Airport
OLRA,Rayak,Rayak Air Base
OLS/KOLS,Nogales,Nogales International Airport
OLU/KOLU,Columbus,Columbus Municipal Airport
OLV/KOLV,Olive Branch,Olive Branch Airport
OLX/HKOK,Serena,Serena Mara-Olkiombo Airport
OLY/KOLY,Olney-Noble,Olney Noble Airport
OLZ/UEMO,Olyokminsk,Olyokminsk Airport
OMA/KOMA,Omaha,Omaha Eppley Airfield
OMAB,Buhasa,Buhasa Airport
OMAF,Al Futaisi,Al Futaisi Futaysi Airport
OMAG,KIZAD,KIZAD Airport
OMAH,Al Shuweihat,Al Hamra Auxiliary Airport
OMAJ,Jebel Dhanna,Jebel Dhanna Airport
OMAQ,Qarnayn Island,Qarnayn Airport
OMAR,Arzanah Island,Arzanah Airport
OMAS,Das Island,Das Island Airport
OMAW,Abu Dhabi,Abu Dhabi Northeast Airport - Suweihan Air Base
OMAY,Al-Yasat,Lower Yasat Island Airport
OMAZ,Zirku Island,Zirku Airport
OMB/FOOH,Omboue,Omboue Hospital Airport
OMC/RPVO,Ormoc City,Ormoc Airport
OMD/FYOG,Oranjemund,Oranjemund Airport
OME/PAOM,Nome,Nome Airport
OMEF,Al Ain,Al Ain Emirates Falcons Aeroclub Airport
OMF/OJMF,Mafraq,Mafraq King Hussein Air College
OMG/FYOE,Omega,Omega Airport
OMH/OITR,Urmia,Urmia Airport
OMI/OIAJ,Omidiyeh,Omidiyeh Airport
OMJ/RJDU,Nagasaki,Nagasaki JMSDF Omura Air Base
OMK/KOMK,Omak,Omak Airport
OMLW,Zayed City,Zayed City Liwa Air Base
OMM/OOMX,Marmul,Marmul Airport
OMN/UZTZ,Zomin,Zomin Airport
OMNK,Sas Al Nakheel,Sas Al Nakheel Air Base
OMO/LQMO,Mostar,Mostar International Airport
OMQF,Al Qaffay,Al Qaffay Airport
OMR/LROD,Oradea,Oradea International Airport
OMRJ,Jazirah,Jazirah Airport
OMRS,Al Duhaisah,Al Saqr Field
OMS/UNOO,Omsk,Omsk Central Airport
OMSN,Sir Abu Nu'ayr,Sir Abu Nu'ayr Airport
OMY,Tbeng Meanchey,Tbeng Meanchey Preah Vinhear Airport
ONA/KONA,Winona,Winona Municipal Airport Max Conrad Field
ONB/AYQQ,Onange Mission,Onange Mission Ononge Airport
OND/FYOA,Ondangwa,Ondangwa Airport
ONG/YMTI,Mornington Island,Mornington Island Airport
ONH,Oneonta,Oneonta Albert S Nader Regional Airport
ONI/WABD,Moanamani,Moanamani Airport
ONJ/RJSR,Kitaakita,Kitaakita Odate Noshiro Airport
ONK/UERO,Olenyok,Olenyok Airport
ONL/KONL,O'Neill,O'Neill Municipal Airport–John L Baker Field
ONM/KONM,Socorro,Socorro Municipal Airport
ONO/KONO,Ontario,Ontario Municipal Airport
ONP/KONP,Newport,Newport Municipal Airport
ONQ/LTAS,Zonguldak,Zonguldak Çaycuma Airport
ONR/YMNK,Monkira,Monkira Airport
ONS/YOLW,Onslow,Onslow Airport
ONT/KONT,Ontario,Ontario International Airport
ONU/NFOL,Ono-i-Lau,Ono-i-Lau Airport
ONX/MPEJ,Colón,Colón Enrique Adolfo Jimenez Airport
ONY/KONY,Olney,Olney Municipal Airport
OOA/KOOA,Cedar,Cedar Oskaloosa Municipal Airport
OOBB,Ramlat Bū Tubūl,Ramlat Bū Tubūl Butabul Airport
OOD/YKDD,Koodaideri Mine,Koodaideri Mine Airport
OOHA,Haima,Haima Airport
OOIA,Ibra,Ibra Airport
OOII,Ibri,Ibri Airport
OOIZ,Izki,Izki Air Base
OOK/PAOO,Toksook Bay,Toksook Bay Airport
OOL/YBCG,Gold Coast,Gold Coast Airport
OOM/YCOM,Cooma,Cooma Snowy Mountains Airport
OOR/YMOO,Mooraberree,Mooraberree Airport
OOSQ,Saiq,Saiq Airport
OOT/NGON,Onotoa,Onotoa Airport
OOYB,Yibal,Yibal Airport
OPA/BIKP,Kópasker,Kópasker Airport
OPB/AYOY,Maitanakunai,Maitanakunai Open Bay Airport
OPBL,Khan Bela,Bela Airport
OPBT,Jam Nida,Jam Nida Northwest Airport
OPCT,Nowshera,Nowshera Chirat Airport
OPDK,Daharki,Daharki Airport
OPF/KOPF,Miami,Miami-Opa Locka Executive Airport
OPI/YOEN,Oenpelli,Oenpelli Airport
OPKA,Cape Monz,Cape Monz Airport
OPKE,Chore,Chore Airport
OPKF,Gharo,Gharo Airport
OPL/KOPL,Opelousas,Opelousas St Landry Parish Ahart Field
OPMK,Mirpur Khas,Mirpur Khas Air Base
OPMN,Miram Shah,Miram Shah Airport
OPMR,Karachi,Karachi Masroor Air Base
OPO/LPPR,Porto,Porto Francisco de Sá Carneiro Airport
OPOK,Okara,Okara Cantonment Airstrip
OPP/SNSM,Salinópolis,Salinópolis Airport
OPPN,Pishin,Pishin Airport
OPQS,Rawalpindi,Rawalpindi Dhamial Army Airbase
OPRN,Rawalpindi,Rawalpindi PAF Base Nur Khan (Benazir Bhutto International Airport)
OPRQ,Shorkot,Shorkot Rafiqui Air Base
OPRS,Risalpur,Risalpur Air Base
OPS/SBSI,Sinop,Sinop Presidente João Batista Figueiredo Airport
OPSF,Karachi,Karachi Faisal Air Base
OPU/AYBM,Balimo,Balimo Airport
OPW/FYOP,Opuwa,Opuwa Airport
OQN/UZKK,Kokand,Kokand Airport
ORA/SASO,Orán,Orán Airport
ORAI,Al Iskandariyah,Al Iskandariyah Airport
ORAN,An Numaniyah,An Numaniyah Air Base
ORB/ESOE,Örebro,Örebro Airport
ORBD,Al Bakr,Al Bakr Balad Southeast Airport / Joint Base Balad
ORBR,Bashur,Bashur Airfield
ORC/SKOE,Orocue,Orocue Airport
ORD/KORD,Chicago,Chicago O'Hare International Airport
ORE/LFOZ,Saint-Denis-de-l'Hô,Orléans–Saint-Denis-de-l'Hôtel Airport
ORF/KORF,Norfolk,Norfolk International Airport
ORG/SMZO,Paramaribo,Paramaribo Zorg en Hoop Airport
ORH/KORH,Worcester,Worcester Regional Airport
ORI,Port Lions,Port Lions Airport
ORJ/SYOR,Orinduik,Orinduik Airport
ORK/EICK,Cork,Cork International Airport
ORL/KORL,Orlando,Orlando Executive Airport
ORM/EGBK,"Northampton, Northa","Northampton, Northamptonshire Sywell Aerodrome"
ORN/DAOO,Es-Sénia,Oran Es-Sénia (Ahmed Ben Bella) International Airport
ORO/MHYR,Yoro,Yoro Airport
ORP/FBOR,Orapa,Orapa Airport
ORR/YYOR,Yorketown,Yorketown Airport
ORSH,Tikrit,Tikrit Al Sahra Army Air Field
ORT/PAOR,Northway,Northway Airport
ORTF,Tall Afar,Tall Afar Army Air Field
ORTI,Taji,Al Taji Army Air Field
ORTK,Tikrit,Tikrit East Airport
ORTS,Tikrit,Tikrit South Airport
ORU/SLOR,Oruro,Oruro Juan Mendoza International Airport
ORUB,Al Kut,Ubaydah Bin Al Jarrah Airport
ORV/PFNO,Noorvik,Noorvik Robert (Bob) Curtis Memorial Airport
ORW/OPOR,Ormara Raik,Ormara Airport
ORX/SNOX,Oriximiná,Oriximiná Airport
ORY/LFPO,"Paris (Orly, Val-de",Paris-Orly Airport
ORZ/MZTH,Orange Walk,Orange Walk H.E Alfredo Martinez (Tower Hill) Airstrip
OSB,Osage Beach,Grand Glaize Osage Beach Airport
OSC/KOSC,Oscoda,Oscoda Wurtsmith Airport
OSD/ESNZ,Östersund,Åre Östersund Airport
OSE/AYOM,Omora,Omora Airport
OSG/AYZS,Ossima,Ossima Airport
OSH/KOSH,Oshkosh,Oshkosh Wittman Regional Airport
OSI/LDOS,Osijek(Klisa),Osijek Airport
OSJ/HKOY,Mara Simba,Mara Simba Ol Seki Naboisho Airstrip
OSK/ESMO,Oskarshamn,Oskarshamn Airport
OSL/ENGM,Oslo (Gardermoen),Oslo-Gardermoen International Airport
OSM/ORBM,Mosul,Mosul International Airport
OSN/RKSO,Pyeongtaek,Pyeongtaek Osan Air Base
OSO/YOSB,Osborne Mine,Osborne Mine Airport
OSR/LKMT,Mošnov,Mošnov Leoš Janáček Airport Ostrava
OSS/UCFO,Osh,Osh International Airport
OST/EBOS,Oostende,Oostende Ostend-Bruges International Airport
OSU/KOSU,Columbus,Columbus The Ohio State University Airport - Don Scott Field
OSW/UWOR,Orsk,Orsk Airport
OSX/KOSX,Kosciusko,Kosciusko Attala County Airport
OSY/ENNM,Namsos,Namsos Airport
OTC/FTTL,Bol,Bol-Berim Airport
OTD/MPRA,Contadora Island,Contadora Island Raul Arias Espinoza Airport
OTG/KOTG,Worthington,Worthington Municipal Airport
OTH/KOTH,North Bend,North Bend Southwest Oregon Regional Airport
OTI/WAEW,Gotalalamo-Morotai,Gotalalamo-Morotai Island Pitu Airport
OTJ/FYOW,Otjiwarongo,Otjiwarongo Airport
OTK/KTMK,Tillamook,Tillamook Airport
OTL/GQNB,Boutilimit,Boutilimit Airport
OTM/KOTM,Ottumwa,Ottumwa Regional Airport
OTN,Oaktown,Oaktown Ed-Air Airport
OTO,Wulan,Otog Banner Wulan Airport
OTP/LROP,Otopeni,Otopeni Bucharest Henri Coandă International Airport
OTQ,Otog Front Banner,Otog Front Banner Oljoq Airport
OTR/MRCC,Corredores,Corredores Coto 47 Airport
OTS,Anacortes,Anacortes Airport
OTT,Cotriguaçu,Cotriguaçu Andre Maggi Airport
OTU/SKOT,Remedios,Remedios Otu Airport
OTZ/PAOT,Kotzebue,Kotzebue Ralph Wien Memorial Airport
OUA/DFFD,Ouagadougou,Ouagadougou Thomas Sankara International Airport
OUD/GMFO,Ahl Angad,Ahl Angad Oujda Angads Airport
OUE/FCOU,Ouesso,Ouesso Airport
OUG/DFCC,Ouahigouya,Ouahigouya Airport
OUH/FAOH,Oudtshoorn,Oudtshoorn Airport
OUI/LFEC,Ushant,Ushant Ouessant Airport
OUL/EFOU,Oulu / Oulunsalo,Oulu Airport
OUM,Oum Hadjer,Oum Hadjer Airport
OUN/KOUN,Norman,Norman University of Oklahoma Westheimer Airport
OUR/FKKI,Batouri,Batouri Airport
OUS/SDOU,Ourinhos,Ourinhos Jornalista Benedito Pimentel Airport
OUT/FTTS,Bousso,Bousso Airport
OUZ/GQPZ,Zouérate,Zouérate Tazadit Airport
OVA/FMSL,Bekily,Bekily Airport
OVB/UNNT,Novosibirsk,Novosibirsk Tolmachevo Airport
OVD/LEAS,Ranón,Ranón Asturias Airport
OVE/KOVE,Oroville,Oroville Municipal Airport
OVG/FAOB,Overberg,Overberg Airport
OVL/SCOV,Ovalle,Ovalle El Tuqui Airport
OVR/SAZF,Olavarria,Olavarria Airport
OVS/USHS,Sovetskiy,Sovetskiy Airport
OWA/KOWA,Owatonna,Owatonna Degner Regional Airport
OWB/KOWB,Owensboro,Owensboro Daviess County Airport
OWD/KOWD,Norwood,Norwood Memorial Airport
OWK/KOWK,Norridgewock,Central Maine/Norridgewock Airport
OXB/GGOV,Bissau,Bissau Osvaldo Vieira International Airport
OXC/KOXC,Oxford,Waterbury Oxford Airport
OXD/KOXD,Oxford,Oxford Miami University Airport
OXF/EGTK,"Kidlington, Oxfords","Kidlington, Oxfordshire London Oxford Airport"
OXO,Orientos,Orientos Airport
OXR/KOXR,Oxnard,Oxnard Airport
OXY/YMNY,Morney,Morney Airport
OYA/SATG,Goya,Goya Airport
OYBA,Dhula',Dhula' Al Badie Airport
OYC,Camopi,Camopi Airport
OYE/FOGO,Oyem,Oyem Airport
OYG,Moyo,Moyo Airport
OYHD,Hodeida,Hodeida International Airport
OYK/SBOI,Oiapoque,Oiapoque Airport
OYL/HKMY,Moyale,Moyale Airport
OYN/YOUY,Ouyen,Ouyen Airport
OYO/SAZH,Tres Arroyos,Tres Arroyos Airport
OYP/SOOG,Saint-Georges-de-l',Saint-Georges-de-l'Oyapock Airport
OYRT,Barat,Barat Airport
OYSF,As Salif,As Salif Airport
OYZM,Al-Hazm,Al-Hazm Airport
OZA/KOZA,Ozona,Ozona Municipal Airport
OZC/RPMO,Ozamiz,Ozamiz Labo Airport
OZG/GMAZ,Zagora,Zagora Airport
OZH/UKDE,Zaporizhia,Zaporizhia Zaporizhzhia International Airport
OZKL,Koralta Station,Koralta Station Airpirt
OZP/LEMO,Morón,Morón Moron Air Base
OZR/KOZR,Fort Rucker/Ozark,Cairns AAF (Fort Rucker) Air Field
OZZ/GMMZ,Ouarzazate,Ouarzazate International Airport
PAA/VYPA,Hpa-N,Hpa-N Airport
PAAD,Deadhorse,Deadhorse Point Thomson Airstrip
PAAM,Dutch Harbor,Dutch Harbor Driftwood Bay Air Force Station Airport
PAAN,Fairbanks,Fairbanks Gold King Creek Airport
PAB/VEBU,Bilaspur,Bilaspur Airport
PABP,Deadhorse,Deadhorse Badami Airport
PABU,Kaktovik,Kaktovik Bullen Point Short Range Radar Station Airport
PABV,Birchwood,Birchwood Airport
PAC/MPMG,Albrook,Albrook Marcos A. Gelabert International Airport
PACL,Clear,Clear Airport
PAD/EDLP,Büren,Büren Paderborn Lippstadt Airport
PAE/KPAE,Everett,Everett Seattle Paine Field International Airport
PAF/HUPA,Pakuba,Pakuba Airport
PAFE,Kake,Kake Airport
PAFL,Farewell Lake,Farewell Lake Tin Creek Airport
PAG/RPMP,Pagadian,Pagadian Airport
PAH/KPAH,Paducah,Paducah Barkley Regional Airport
PAHE,Healy,Healy Airport
PAHV,Healy,Healy River Airport
PAJ/OPPC,Parachinar,Parachinar Airport
PAK/PHPA,Hanapepe,Hanapepe Port Allen Airport
PAL/SKPQ,La Dorada,La Dorada German Olano Air Base
PALP,Nuiqsut,Nuiqsut Alpine Airstrip
PAM/KPAM,Panama City,Panama City Tyndall Air Force Base
PAN/VTSK,Pattani,Pattani Airport
PAO/KPAO,Palo Alto,Palo Alto Airport
PAP/MTPP,Port-au-Prince,Port-au-Prince Toussaint Louverture International Airport
PAQ/PAAQ,Palmer,"Warren ""Bud"" Woods Palmer Municipal Airport"
PAS/LGPA,Paros,Paros National Airport
PAT/VEPT,Patna,Patna Jay Prakash Narayan Airport
PATW,Cantwell,Cantwell Airport
PAU/VYPK,Pauk,Pauk Airport
PAV/SBUF,Paulo Afonso,Paulo Afonso Airport
PAW,Pambwa Station,Pambwa Airstrip
PAWR,Whittier,Whittier Airport
PAWT,Wainwright,Wainwright Air Station
PAX/MTPX,Port-de-Paix,Port-de-Paix Airport
PAXK,Paxson,Paxson Airport
PAY/WBKP,Pamol,Pamol Airport
PAZ/MMPA,Poza Rica,Poza Rica El Tajín National Airport
PBA/SDLO,Cairu,Cairu Fábio Perini Airport
PBB/SSPN,Paranaíba,Paranaíba Airport
